timestamp,brightness,exposure,temperature,ptp_status,ptp_servo_status,ptp_offset
1760456485623303,102.02417,404,67.937,Slave,Locked,413
1760456485721709,102.001274,404,67.937,Slave,Locked,413
1760456485823913,101.983055,404,67.937,Slave,Locked,413
1760456485923234,101.957245,404,67.937,Slave,Locked,413
1760456486025090,102.055855,404,67.937,Slave,Locked,413
1760456486121865,102.03662,404,67.937,Slave,Locked,413
1760456486227041,102.01271,404,67.937,Slave,Locked,413
1760456486323671,101.991554,404,67.937,Slave,Locked,409
1760456486422731,101.975624,404,67.937,Slave,Locked,409
1760456486524742,101.96012,404,67.937,Slave,Locked,409
1760456486623487,102.049995,404,67.937,Slave,Locked,409
1760456486722070,102.03667,404,67.937,Slave,Locked,409
1760456486824390,102.026184,405,67.937,Slave,Locked,409
1760456486923590,102.009224,405,67.937,Slave,Locked,409
1760456487025958,101.993126,406,67.937,Slave,Locked,409
1760456487122526,101.98364,406,67.937,Slave,Locked,409
1760456487228329,101.972595,408,67.937,Slave,Locked,408
1760456487323582,101.96067,408,67.937,Slave,Locked,408
1760456487423071,101.950455,409,67.937,Slave,Locked,408
1760456487525197,101.93773,409,67.937,Slave,Locked,408
1760456487622841,101.92637,410,67.937,Slave,Locked,408
1760456487723454,101.91913,410,67.937,Slave,Locked,408
1760456487824515,102.02489,413,67.937,Slave,Locked,408
1760456487922423,101.88977,413,67.937,Slave,Locked,408
1760456488026302,101.77505,413,67.937,Slave,Locked,408
1760456488122467,101.66499,413,67.937,Slave,Locked,408
1760456488226737,101.83469,414,67.937,Slave,Locked,418
1760456488323416,101.886116,414,67.937,Slave,Locked,418
1760456488423183,101.91636,415,67.937,Slave,Locked,418
1760456488524800,101.66,415,67.937,Slave,Locked,418
1760456488623412,101.466354,417,67.937,Slave,Locked,418
1760456488723369,101.5249,417,67.937,Slave,Locked,418
1760456488824558,101.93958,420,67.937,Slave,Locked,418
1760456488923025,101.87678,420,67.937,Slave,Locked,418
1760456489026244,101.7868,422,67.937,Slave,Locked,418
1760456489123392,101.66299,422,67.937,Slave,Locked,418
1760456489229695,101.606606,431,67.937,Slave,Locked,425
1760456489323579,101.52372,431,67.937,Slave,Locked,425
1760456489423287,101.164444,429,67.937,Slave,Locked,425
1760456489524980,100.90019,429,67.937,Slave,Locked,425
1760456489623605,100.95253,426,67.937,Slave,Locked,425
1760456489722696,101.15608,426,67.937,Slave,Locked,425
1760456489823488,101.80832,420,67.937,Slave,Locked,425
1760456489923176,101.75298,420,67.937,Slave,Locked,425
1760456490026604,101.23127,419,67.937,Slave,Locked,425
1760456490121967,101.25993,419,67.937,Slave,Locked,425
1760456490226475,102.602066,418,67.937,Slave,Locked,426
1760456490323713,102.88926,418,67.937,Slave,Locked,426
1760456490423006,102.65959,418,67.937,Slave,Locked,426
1760456490524317,102.7759,418,67.937,Slave,Locked,426
1760456490624422,102.715034,418,67.937,Slave,Locked,426
1760456490723540,102.74639,418,67.937,Slave,Locked,426
1760456490823693,101.90976,419,67.937,Slave,Locked,426
1760456490922437,101.74634,419,67.937,Slave,Locked,426
1760456491025046,101.584404,417,67.937,Slave,Locked,426
1760456491122185,101.50032,417,67.937,Slave,Locked,426
1760456491225681,101.14722,418,67.937,Slave,Locked,428
1760456491323475,101.05915,418,67.937,Slave,Locked,428
1760456491423615,100.98946,418,67.937,Slave,Locked,428
1760456491525737,100.966576,418,67.937,Slave,Locked,428
1760456491623799,100.90203,417,67.937,Slave,Locked,428
1760456491723609,100.87821,417,67.937,Slave,Locked,428
1760456491825093,101.06014,416,67.937,Slave,Locked,428
1760456491923740,101.27729,416,67.937,Slave,Locked,428
1760456492025092,101.08631,416,67.937,Slave,Locked,428
1760456492122495,100.86777,416,67.937,Slave,Locked,428
1760456492223554,101.03585,414,67.937,Slave,Locked,427
1760456492323682,101.266975,414,67.937,Slave,Locked,427
1760456492423452,101.357216,413,67.937,Slave,Locked,427
1760456492525704,101.390205,413,67.937,Slave,Locked,427
1760456492624966,101.34743,412,67.937,Slave,Locked,427
1760456492724142,101.40335,412,67.937,Slave,Locked,427
1760456492824993,101.316925,411,67.937,Slave,Locked,427
1760456492924601,101.312294,411,67.937,Slave,Locked,427
1760456493026973,101.42183,410,67.937,Slave,Locked,427
1760456493124424,101.67515,410,67.937,Slave,Locked,427
1760456493225014,101.5773,409,67.937,Slave,Locked,415
1760456493323764,101.70086,409,67.937,Slave,Locked,415
1760456493423526,101.81414,407,67.937,Slave,Locked,415
1760456493524955,101.96097,407,67.937,Slave,Locked,415
1760456493625084,102.02058,406,67.937,Slave,Locked,415
1760456493722886,102.07885,406,67.937,Slave,Locked,415
1760456493824541,102.049706,405,67.937,Slave,Locked,415
1760456493923296,102.193085,405,67.937,Slave,Locked,415
1760456494024759,102.127205,404,67.937,Slave,Locked,415
1760456494123832,102.2025,404,67.937,Slave,Locked,415
1760456494224836,102.14957,402,67.937,Slave,Locked,407
1760456494324944,102.23491,402,67.937,Slave,Locked,407
1760456494423296,102.04514,400,67.937,Slave,Locked,407
1760456494525645,102.09059,400,67.937,Slave,Locked,407
1760456494623563,102.122,398,67.937,Slave,Locked,407
1760456494723809,102.10157,398,67.937,Slave,Locked,407
1760456494824372,102.077156,395,67.937,Slave,Locked,407
1760456494923905,102.30868,395,67.937,Slave,Locked,407
1760456495026170,102.378296,392,67.937,Slave,Locked,407
1760456495122641,102.532524,392,67.937,Slave,Locked,407
1760456495224815,102.35849,390,67.937,Slave,Locked,413
1760456495323680,102.406235,390,67.937,Slave,Locked,413
1760456495423758,102.191536,388,67.937,Slave,Locked,413
1760456495524726,102.27441,388,67.937,Slave,Locked,413
1760456495623794,102.22963,387,67.937,Slave,Locked,413
